案例编号,案例标题,严重程度,痛点大类,痛点细分,技术可解决性,方案匹配,睡眠相关性,影响范围,内容类型,用户情绪,关键原话
001,ASMR广告惊醒用户,P0,A_音量问题,A1_广告音量突变,S1_完全可解决,M1_完美匹配,R1_直接相关,I1_普遍问题,T1_ASMR,E_愤怒,"广告音量比ASMR视频高5-10倍"
002,睡眠视频创作者请愿,P0,A_音量问题,A1_广告音量突变,S1_完全可解决,M1_完美匹配,R1_直接相关,I1_普遍问题,T2_睡眠助眠,E_无奈,"超过87000人签名请愿去除睡眠内容广告"
003,52岁悉尼用户被广告惊醒,P0,A_音量问题,A1_广告音量突变,S1_完全可解决,M1_完美匹配,R1_直接相关,I2_常见问题,T2_睡眠助眠,E_愤怒,"凌晨4点被广告惊醒心跳加速"
004,恐怖电影广告惊吓用户,P0,D_广告相关,D3_恐怖不适内容,S4_基本无法解决,M5_完全不匹配,R2_高度相关,I2_常见问题,T0_通用,E_恐惧,"恐怖电影广告在儿童内容中播放"
005,YouTube官方承认广告音量问题,P1,A_音量问题,A1_广告音量突变,S1_完全可解决,M1_完美匹配,R2_高度相关,I1_普遍问题,T0_通用,E_无奈,"YouTube称会根据响度标准化但实际不完美"
006,背景音乐盖过人声,P1,B_音频质量,B1_背景音乐盖过人声,S3_部分可解决,M3_部分匹配,R3_中度相关,I1_普遍问题,T5_教程讲解,E_困惑,"无法听清说话内容需要开字幕"
007,视频音量不一致需要频繁调节,P1,A_音量问题,A2_视频间音量差异,S1_完全可解决,M1_完美匹配,R2_高度相关,I1_普遍问题,T0_通用,E_无奈,"切换视频需要不断调音量"
008,播客录音质量差听不清,P2,B_音频质量,B3_录音质量差,S3_部分可解决,M4_少量匹配,R3_中度相关,I2_常见问题,T4_播客访谈,E_失望,"远程录音质量参差不齐"
009,Change.org请愿广告监管,P0,D_广告相关,D1_广告打断内容,S4_基本无法解决,M5_完全不匹配,R2_高度相关,I1_普遍问题,T0_通用,E_愤怒,"请愿要求监管机构介入"
010,睡眠视频自动播放到不相关内容,P1,E_平台功能,E1_自动播放问题,S4_基本无法解决,M5_完全不匹配,R1_直接相关,I1_普遍问题,T2_睡眠助眠,E_无奈,"自动播放到完全不相关的视频"
011,YouTube音量太低听不清,P2,A_音量问题,A5_整体音量过低,S2_大部分可解决,M2_高度匹配,R3_中度相关,I2_常见问题,T0_通用,E_困惑,"已调到最大还是听不清"
012,Intro音乐太响震耳,P0,A_音量问题,A3_视频内音量突变,S1_完全可解决,M1_完美匹配,R2_高度相关,I1_普遍问题,T0_通用,E_愤怒,"视频开场音乐震耳欲聋"
013,视频内音量不均匀,P1,A_音量问题,A3_视频内音量突变,S1_完全可解决,M1_完美匹配,R2_高度相关,I1_普遍问题,T0_通用,E_无奈,"同一视频内音量忽大忽小"
014,电视剧电影对话太轻音乐太响,P1,B_音频质量,B1_背景音乐盖过人声,S2_大部分可解决,M2_高度匹配,R3_中度相关,I1_普遍问题,T6_影视娱乐,E_困惑,"对话声音小到听不清"
015,Apex游戏EA启动音效震耳,P1,A_音量问题,A4_突发音效,S1_完全可解决,M1_完美匹配,R4_低度相关,I3_特定场景,T7_游戏电竞,E_愤怒,"游戏启动音效音量过大"
016,TikTok用户分享YouTube自动播放惊吓经历,P0,E_平台功能,E1_自动播放问题,S4_基本无法解决,M5_完全不匹配,R1_直接相关,I2_常见问题,T2_睡眠助眠,E_恐惧,"睡着后自动播放恐怖内容"
